X,Y,Z
-4.795959,5.057198,-4.886474
-4.489687,5.019561,-4.493723
-4.245078,5.052912,-4.241977
-4.087312,5.255582,-4.099707
-3.884259,4.904273,-4.006986
-3.678966,4.514846,-4.025046
-3.521498,4.083912,-3.617331
-3.728347,3.529898,-3.142677
-3.135515,3.261044,-2.698461
-3.117795,2.949895,-2.408324
-2.629048,2.719182,-2.390315
-2.847217,2.429553,-2.622064
-2.309607,2.222282,-2.580699
-2.335160,2.157657,-1.375302
-1.973644,1.705106,-1.547545
-2.173539,1.894013,-2.350679
-1.884750,1.931024,-1.990041
-1.445104,1.565544,-2.367098
-1.734723,1.677565,-1.994300
-1.591936,1.188820,-1.560083
-1.206348,0.683319,-1.057212
-0.882120,0.315094,-0.275034
-0.867462,0.209544,-0.060646
-0.578341,-0.295206,0.040539
-0.350707,-0.524314,0.085780
-0.314966,-0.598064,0.245640
-0.021569,-0.991742,0.315239
0.468503,-1.028022,0.400158
0.819458,-0.912381,0.518414
0.303719,-1.417998,0.916478
0.561846,-0.976129,1.094239
0.702852,-1.299071,1.250581
1.139695,-2.352080,1.247658
1.377171,-2.674783,1.244734
1.560149,-2.777982,1.706627
1.783460,-2.641769,2.134221
1.984519,-2.400070,2.378541
2.892447,-2.437209,2.276895
3.709528,-2.469480,2.350390
3.483991,-2.811154,2.658872
3.197615,-2.915347,2.690025
3.255878,-3.335102,2.808180
3.879837,-3.448114,3.033741
4.832639,-3.125485,3.674894
4.595109,-3.145368,3.804223
4.350042,-3.344725,4.093686
4.811891,-3.859408,4.151703
4.748706,-4.205034,4.570344
4.654752,-3.925963,4.795514
4.716845,-4.415827,5.304409
