x1, y1, z1, x2, y2, z2, x3, y3, z3, x4, y4, z4, r1, r2, r3, r4
5.699829,8.569142,6.477809,-6.067196,9.859439,-5.912556,4.654054,-8.778875,6.914052,-7.587530,8.005426,7.862201,12.545470,13.836750,11.348819,13.801089
6.043673,8.915096,6.386777,-5.645567,9.868925,-6.342113,4.909501,-8.393899,8.141391,-7.133122,7.465948,6.649578,12.027730,14.001945,11.364282,13.423634
4.486094,9.527224,6.341838,-3.682237,11.407182,-4.765336,3.522904,-8.936801,7.192102,-6.957629,7.521542,6.904058,13.192914,14.383483,10.614637,13.543515
3.314808,10.375745,4.970677,-3.313097,11.455825,-5.804810,3.715938,-9.552215,6.702055,-5.844718,9.093431,6.165931,13.375194,14.613240,10.697397,13.648616
2.561730,10.169540,5.288780,-1.683037,12.315825,-4.013467,2.374368,-9.411382,6.344632,-4.464178,8.086057,5.523199,13.003686,14.788219,9.436098,13.431263
0.981613,11.252544,3.607014,-1.467158,11.991431,-3.753452,-0.209892,-10.052484,5.633079,-3.774204,9.523950,5.825883,13.702126,15.171084,8.544273,13.058124
0.878245,10.168811,4.750823,-0.736994,10.980049,-3.253293,-0.547856,-9.271436,4.653574,-2.383066,8.668761,5.503568,13.149142,15.590846,8.741568,12.209640
-0.210699,11.001207,3.683040,0.795123,10.355373,-0.964357,-0.167740,-10.529174,4.077483,-1.244226,8.630000,4.391678,13.241645,14.529962,8.437849,11.903238
-0.681601,10.081884,2.195013,1.555303,12.179337,-1.623519,-1.692539,-10.130648,2.944875,-0.871340,8.451390,4.061481,13.980959,14.120730,8.796288,11.794760
-3.119756,10.628978,0.994596,3.388600,12.426467,-1.068491,-2.471079,-9.528360,2.347022,1.561167,7.922305,2.454114,14.211391,14.244700,8.210303,11.198262
-3.237145,9.712746,0.219113,3.533587,11.305801,0.585960,-3.124670,-9.112888,1.435819,1.639060,8.064387,2.168830,14.904283,14.751834,9.308399,11.029458
-5.196805,9.055753,-0.922091,4.729068,10.523840,0.328333,-5.302323,-8.447580,0.723554,1.909050,7.911773,1.155526,14.553474,14.063975,8.593578,11.271194
-5.271430,9.387847,-0.663291,5.535506,9.599056,1.993396,-5.883558,-9.303882,0.528376,4.227729,6.596288,-0.296636,14.688018,13.218399,9.796793,10.797292
-6.658739,8.539284,-2.125475,6.914694,9.729339,3.152155,-6.159981,-8.282257,-1.391403,4.294609,6.563674,-1.708777,15.546185,13.903598,10.917272,10.990471
-6.755085,7.952433,-3.080433,6.288278,9.121755,3.707121,-7.954898,-6.730315,-2.163887,4.197141,6.473853,-1.930703,16.113182,13.264495,13.070530,10.712294
-8.716181,6.919259,-4.069708,6.777204,8.816003,4.847393,-7.276687,-7.362453,-3.092328,6.200531,4.830966,-3.492534,17.467403,12.973475,13.344644,11.637957
-8.744501,6.075642,-5.766424,8.380153,7.598307,6.595903,-8.490657,-5.428486,-4.205076,7.063115,4.946585,-3.817579,18.345264,12.833776,13.361817,11.802334
-9.085626,5.613894,-5.046129,8.510885,7.242128,6.918022,-8.995204,-5.278354,-5.476007,7.034883,2.670835,-4.607896,19.162003,12.283949,15.581797,12.279671
-9.871963,4.451237,-7.517693,8.926531,5.670077,7.568327,-9.952006,-4.034932,-5.192235,6.306735,2.406282,-5.970893,18.944921,12.303554,17.277185,12.249689
-9.760602,3.414127,-7.529810,9.626081,5.430585,7.850517,-9.184107,-2.535115,-6.910862,7.605265,1.586095,-7.052076,19.831394,12.508419,17.385296,13.619629
-9.480659,2.640041,-8.866712,9.963776,3.702247,9.501531,-9.548196,-2.069817,-8.451022,7.712026,1.112170,-7.664267,20.317841,12.933910,18.989830,13.737145
-9.530046,1.660701,-8.859741,9.853474,3.063142,10.164768,-10.469233,-0.514916,-9.053132,8.003241,0.082609,-8.575730,21.469217,12.507500,21.079142,14.299182
-10.996461,1.463369,-10.672531,8.695383,0.969667,11.058567,-10.109180,0.351027,-9.700309,8.127663,-0.920685,-9.529463,21.932146,10.589034,21.960522,15.104558
-10.678853,-0.449034,-11.620981,10.551617,1.002581,10.809654,-9.810433,0.414021,-10.342116,7.871037,-1.635563,-10.447598,22.501194,11.090993,21.714090,16.347414
-9.707873,-1.647657,-11.493925,10.232427,-0.210428,12.223528,-10.174867,2.247647,-10.495211,7.226756,-2.853885,-10.484302,22.355854,11.212902,22.695013,14.839799
-10.239614,-2.497979,-12.104638,9.459130,-0.941736,13.148679,-9.402281,2.870411,-11.037823,8.097212,-4.066055,-11.135279,22.592537,10.934157,24.639706,16.471203
-9.508065,-2.532439,-12.287579,8.871862,-2.720595,13.485603,-9.641392,3.628069,-11.365542,7.084472,-5.779906,-11.771716,23.257008,9.917622,25.270439,16.650156
-8.882656,-5.159624,-12.726377,9.873967,-2.554134,14.062428,-8.948388,4.319415,-12.049347,7.180469,-5.843494,-11.509645,23.028032,9.448421,24.775515,16.848068
-7.849027,-5.432096,-13.253899,7.896643,-4.342380,14.335092,-7.667849,5.471300,-12.278337,6.581805,-6.880035,-11.076371,24.443207,10.062695,26.306328,16.880407
-9.379724,-6.509740,-14.337861,8.230008,-5.139298,14.061666,-7.391018,6.964512,-12.232655,6.477332,-7.808464,-12.425428,23.883791,9.552141,27.291973,19.128815
-7.137700,-6.697941,-13.390330,6.733849,-5.760740,14.690043,-7.277244,7.565102,-12.790864,5.744669,-7.353281,-11.530992,22.932980,8.241800,28.219707,18.402138
-6.661060,-6.777881,-13.895450,6.264126,-6.600128,13.386380,-5.300573,7.404118,-12.007392,3.629214,-8.768853,-11.549652,23.906406,8.461819,26.722067,19.366024
-5.669848,-7.575965,-13.210999,5.522562,-6.876945,14.693493,-5.975042,9.039996,-13.454522,3.449461,-8.757510,-12.201825,22.920677,8.048644,27.039598,19.309034
-4.813859,-8.789634,-13.033245,4.305338,-7.703845,14.028934,-5.042074,7.981574,-12.563306,2.849954,-10.301639,-12.159862,22.691748,7.665971,28.329966,18.623371
-3.499070,-9.800959,-12.593992,3.930487,-7.642071,13.445335,-3.523655,10.187167,-12.047973,1.333564,-10.484935,-11.984694,22.665270,8.003942,26.921148,19.410406
-3.203340,-9.147575,-11.185866,2.643514,-7.922225,13.303923,-2.949633,10.185346,-11.336356,1.442962,-10.970751,-10.992802,21.810745,7.860881,27.280470,19.654825
-2.160199,-8.592782,-10.992467,1.339296,-7.741718,12.926603,-1.766962,8.837864,-10.399396,-0.375691,-10.414319,-10.524549,20.692867,7.339584,27.038916,19.787325
-0.929989,-9.420566,-10.840146,0.648323,-6.863572,12.724008,-1.448640,9.883042,-10.083021,-0.872264,-11.044077,-9.305310,20.432150,7.595990,26.451216,20.091347
-0.357887,-9.177687,-10.549346,-0.943065,-7.829141,11.468917,-0.454633,10.490366,-9.182644,-2.288589,-12.089340,-9.117543,18.660578,9.469034,26.009871,19.157286
1.069906,-10.516143,-9.917836,-1.629917,-8.008560,10.100785,1.242751,10.108483,-9.100295,-3.097817,-11.243346,-8.731045,17.918491,9.497517,25.422998,20.562355
2.304656,-9.807746,-8.500935,-1.625923,-8.579481,9.022956,1.257448,10.465693,-7.470626,-4.233795,-10.906220,-7.269056,18.003555,11.059001,25.186903,20.538589
2.746455,-8.481309,-7.167369,-2.092855,-7.804835,9.034208,4.120358,9.405674,-7.343300,-5.309702,-10.278040,-7.787351,16.781120,11.966725,24.442179,20.360899
4.020117,-8.619398,-6.859958,-3.473936,-7.525767,7.521296,3.794273,8.838967,-6.065598,-5.985138,-11.068042,-5.583569,15.448625,14.181684,23.606421,21.362616
4.810784,-7.560569,-4.676141,-4.602599,-6.109917,6.857739,4.255577,7.937716,-5.141936,-5.763761,-10.430448,-4.277151,15.112364,14.130945,22.415686,21.387745
4.995049,-8.128371,-4.269459,-5.484259,-6.553187,5.974993,5.956982,7.985266,-3.541851,-8.229099,-9.343806,-3.612082,14.466051,15.913477,23.224966,21.381392
5.872591,-7.676906,-2.899667,-6.729072,-5.653504,5.303380,6.572395,7.273108,-2.983095,-9.051132,-8.658493,-3.570506,13.001410,17.383307,21.760172,22.335052
7.022404,-6.417673,-3.211844,-6.475270,-4.666889,4.040488,7.393491,7.627207,-2.772488,-8.810069,-8.166247,-2.286398,13.389932,18.356808,20.728811,22.215994
8.092735,-6.092885,-1.074070,-6.847219,-4.401323,2.726077,8.298948,5.214159,-2.196029,-10.198949,-7.694281,-1.148402,12.990584,19.929773,20.102680,23.126795
8.741404,-4.725652,-1.254665,-9.312179,-3.381403,2.169497,7.651077,5.443799,0.180513,-11.569641,-5.477550,0.293101,12.429922,21.039923,18.170424,23.588537
8.896491,-3.299125,1.288834,-8.315644,-2.720276,2.036380,9.473471,3.388129,0.388516,-11.026760,-6.338195,1.165324,11.483318,22.471947,17.680048,22.785397
9.984126,-2.392739,0.927450,-8.819186,-2.275057,0.145396,8.783374,2.909462,1.391304,-11.268325,-5.116093,1.831510,12.300713,23.948391,17.428713,25.144136
10.139400,-2.116407,1.955323,-9.562332,-0.118361,-0.911471,9.189740,2.787275,2.514978,-11.854417,-5.032456,2.775704,13.044570,25.569464,16.400316,25.264643
10.304996,-0.659311,2.289303,-10.168676,0.352412,-2.038577,9.648830,1.272143,3.718571,-11.544766,-3.275267,3.323153,12.735063,27.086578,14.573028,25.750608
9.050892,0.283273,3.461732,-10.725554,0.766446,-2.464813,10.171691,0.959027,4.431187,-11.991386,-2.090273,4.395469,13.366531,27.183830,14.167382,25.704666
10.280061,1.061467,3.910162,-10.120781,2.840155,-3.907614,10.359386,0.394080,5.013034,-11.608171,-0.700863,4.914861,14.061822,29.403627,12.786476,26.989920
10.240007,2.525460,3.676624,-10.133528,2.682009,-3.795676,9.304891,-2.290976,5.088734,-12.391209,0.153340,5.311150,15.072121,30.263554,12.230295,25.890963
8.752635,3.071845,5.249287,-8.855593,4.170543,-4.528222,9.634433,-1.603322,5.922122,-10.774240,1.574130,6.934091,16.217644,31.466022,11.257229,27.422882
9.121067,4.373574,6.754258,-8.622899,6.273325,-4.696882,10.245286,-3.408141,6.066918,-10.708534,1.614729,7.550866,17.857973,31.439968,9.308373,27.870543
8.307380,4.848046,6.107694,-9.825378,5.407070,-4.995633,8.504396,-4.551786,7.003152,-11.072317,3.426710,6.717465,19.205036,32.162865,10.828407,28.794703
8.444385,5.146504,6.633515,-8.188475,5.845599,-5.290343,8.254028,-5.240770,8.059527,-10.570832,3.427462,7.768889,19.127026,33.336090,9.963139,28.161562
7.793621,7.601858,6.774368,-7.489474,7.063776,-4.912407,8.415640,-6.145350,6.429282,-9.996180,4.993839,7.141748,21.196951,33.592945,9.140906,29.123356
6.779098,6.597246,6.616080,-7.077258,8.779854,-6.086126,7.358673,-6.711169,8.021261,-9.334863,5.565550,7.384803,22.409929,34.303963,9.473220,29.379105
6.035641,7.829105,6.821064,-5.589674,10.372354,-5.697038,6.505765,-8.180658,7.476852,-9.274092,6.363306,8.134880,23.532040,34.781075,9.900712,29.446762
5.743274,8.757767,7.227820,-4.895931,9.265449,-5.643526,5.858069,-8.790037,7.112154,-8.035557,7.906245,7.538185,24.844946,35.923603,10.969657,29.387888
4.987079,10.555995,6.397237,-5.277767,10.277399,-5.913491,4.317910,-7.780520,6.662945,-6.492359,7.766765,6.902402,24.824408,35.713646,11.898102,30.066681
3.687443,8.902331,5.347842,-4.062975,11.144350,-5.962040,3.685463,-9.034760,6.635013,-5.881578,7.739674,7.053500,25.999096,35.502079,12.832393,29.528227
3.411461,10.335638,5.555328,-3.610281,10.971179,-4.432110,3.097478,-9.623151,6.549928,-4.786296,7.924335,7.098743,28.102453,34.469345,13.805960,30.007055
1.881716,9.832736,5.022881,-1.143640,11.248767,-4.276099,2.493760,-9.596397,6.369370,-4.392719,8.071705,6.046520,29.181501,36.014381,14.089287,29.233488
1.069826,9.435481,4.890222,-1.268149,11.301510,-3.599719,1.085515,-9.922966,5.114308,-3.714053,8.165307,4.812129,28.871359,33.842628,16.369314,29.626923
-1.003189,10.681343,3.848289,-0.276645,12.066464,-3.116764,-0.166675,-10.336222,4.993233,-1.117446,9.184305,5.034966,30.317879,34.233360,17.669786,29.859255
-0.843037,10.157193,3.988408,1.263781,12.178786,-1.913693,-0.420896,-9.665546,4.376632,-0.943449,9.069473,4.642832,32.189648,34.376842,18.898771,30.573528
-1.621405,10.668112,2.258533,1.577874,11.731344,-1.138900,-1.838982,-10.095656,3.840380,-0.074655,8.717319,2.651234,32.745876,34.687077,20.477793,29.819586
-2.991421,10.563896,2.148710,2.824988,12.023767,-0.716037,-2.766314,-10.652980,2.272679,0.386511,8.601612,1.735024,34.134521,33.209518,22.606226,29.701147
-3.199288,9.772471,0.627207,3.607956,10.643889,0.399143,-4.032703,-9.348598,0.623238,2.112485,8.058027,1.332166,34.723480,32.016647,24.189522,30.025253
-4.642210,9.246616,-0.693776,5.140579,10.433995,1.715577,-4.514593,-9.104978,1.141140,3.421039,7.214468,0.598611,35.924282,30.974417,25.466402,30.683613
-5.586611,9.107413,-1.045211,6.613156,9.622561,2.508073,-6.501364,-7.774211,-0.625762,3.274826,7.997652,-0.779960,35.939857,31.544380,26.182653,31.140799
-6.514800,7.951444,-2.045598,7.156428,9.163137,2.532933,-6.150587,-8.205691,-1.230189,4.261963,6.282206,-1.126304,36.989632,29.598955,27.958643,30.511225
-7.020762,7.153015,-2.819360,7.488787,8.977834,3.816785,-7.789339,-6.857073,-2.842080,5.433171,5.172088,-2.591748,37.865547,29.890970,29.748623,29.842012
-7.515176,6.852718,-4.919837,8.131875,8.207386,5.067978,-8.583414,-6.204647,-3.145673,5.812623,5.416893,-3.559569,39.171898,28.406698,32.119347,29.966488
-9.098858,6.288413,-5.544796,8.757581,7.090678,6.422290,-8.513829,-5.203564,-3.603815,6.298724,4.763008,-3.897018,40.066723,27.215044,33.976879,30.731119
-9.142447,4.648714,-5.840334,7.721235,6.144798,7.138720,-8.384175,-5.244602,-6.432878,5.685313,3.432953,-5.585466,40.565678,26.482111,35.702641,30.113926
-10.376666,4.284308,-7.015097,8.826448,5.337870,7.741107,-9.652435,-4.403180,-5.740651,7.328587,2.908922,-6.673892,40.882130,25.803728,37.607697,31.463961
-9.457705,3.606308,-8.704632,9.751894,3.868418,8.289043,-9.903886,-3.397227,-6.693446,7.414266,1.709619,-6.903497,41.691406,24.625639,38.577358,31.968346
-10.207020,2.021430,-9.535514,9.404375,3.042865,9.230030,-9.753289,-2.109192,-7.082296,7.431898,0.654247,-8.632586,42.103962,22.483669,38.960590,31.032701
-11.019841,1.642683,-9.158158,10.061442,3.490864,11.026284,-9.831956,-1.590497,-9.629992,7.933304,-0.279922,-9.449782,42.691406,23.069401,41.796211,32.117538
-10.464780,0.787458,-10.214043,9.338567,2.186614,11.664361,-10.502098,0.642722,-8.787457,8.490071,-1.009321,-10.035018,43.238056,20.543493,43.411999,32.686161
-10.570590,-0.651235,-11.124541,10.024185,0.001373,12.801979,-10.050741,0.822236,-9.923824,8.046228,-2.183878,-11.145882,43.476151,21.048004,44.036316,33.531219
-9.588980,-1.526265,-12.601695,9.436719,-0.595532,13.420043,-9.177302,1.252207,-11.049894,7.530710,-3.158816,-11.580913,43.545254,19.839767,44.886181,33.764977
-8.785432,-2.352848,-12.728368,9.823623,-1.031260,13.081883,-9.280442,3.526359,-11.573709,7.239329,-3.976481,-11.123722,43.081383,19.421581,46.332874,33.384682
-10.116703,-3.918780,-12.818666,9.234661,-2.266204,14.163942,-9.067688,4.713716,-12.966127,6.487713,-4.652559,-11.467869,43.340313,18.957582,46.084755,35.071148
-9.243111,-4.616457,-13.472214,8.887726,-2.893738,13.173708,-8.482426,5.654866,-12.421282,7.001000,-4.950863,-12.155837,43.602932,18.761793,47.579224,34.161739
-8.094072,-5.749930,-12.915925,8.600969,-3.890096,14.103243,-8.638720,5.187270,-12.341692,6.659494,-7.702086,-11.975106,42.884460,18.931297,47.845844,35.222416
-7.418796,-6.767189,-13.546016,8.324903,-4.105620,14.692846,-7.352367,6.067680,-12.125287,6.737618,-7.352527,-12.589042,43.943672,18.580235,48.133900,35.452660
-6.614194,-6.660840,-12.901434,7.117664,-5.462229,14.308309,-6.258845,7.874142,-11.436328,4.076765,-8.688694,-12.220767,43.267071,19.291452,47.305824,36.079914
-5.768731,-7.955182,-13.477555,6.748784,-6.733109,13.304671,-5.985046,7.996969,-11.830843,3.124546,-9.001434,-12.604622,43.654404,19.160671,48.249847,36.307865
-5.346379,-8.106561,-12.920025,6.025396,-7.561270,12.906191,-5.949655,7.939191,-12.498212,2.869930,-9.521781,-12.463547,42.764854,18.519726,49.245129,37.219822
-3.887290,-8.555640,-12.706902,5.326721,-7.602130,12.816172,-5.110826,9.351679,-11.858362,2.117898,-10.435149,-12.441490,41.925728,19.878504,49.484451,36.616879
-3.768020,-9.883832,-12.869924,4.212721,-7.729437,13.134461,-3.865955,8.365323,-12.093266,1.656806,-11.473218,-11.450809,41.509979,21.081497,48.818787,36.661263
-2.860370,-9.392090,-11.597511,2.613744,-8.019862,13.015214,-1.921659,10.650851,-10.238124,0.841061,-10.384017,-10.870692,41.169144,22.144165,49.041180,38.436180
-1.236325,-9.718544,-10.917622,1.453446,-8.108591,12.292364,-1.544321,9.278215,-10.916455,0.188710,-11.710164,-10.703611,39.600376,23.163282,48.257057,38.228092
