X,Y,Z
-7714520.000000,8906604.000000,12480729.000000
-6492326.000000,6434597.500000,10183127.000000
-5942886.000000,5323301.500000,9150234.000000
-5391863.000000,4208802.500000,8114366.000000
-4884085.500000,3181783.000000,7159802.000000
-4424068.000000,2251304.000000,6294978.500000
-4003056.750000,1399947.000000,5503660.000000
-3609997.750000,604349.500000,4764280.500000
-3235270.750000,-151841.500000,4061186.500000
-2876527.500000,-881942.000000,3383254.500000
-2521424.750000,-1589399.500000,2724137.500000
-2188235.000000,-2287917.000000,2078491.500000
-1828673.500000,-2959338.000000,1446298.000000
-1549923.500000,-3653200.000000,820359.000000
-1099810.500000,-4258408.000000,213341.000000
-1009305.500000,-5012265.000000,-404087.000000
-453499.000000,-5549071.000000,-988695.000000
-334438.500000,-6268944.000000,-1587851.000000
135855.000000,-6819060.000000,-2157858.000000
277754.500000,-7496986.000000,-2729974.000000
750167.000000,-7998949.000000,-3269567.000000
774461.000000,-8707062.000000,-3762489.000000
1294148.500000,-8636660.000000,-4749035.000000
1908984.500000,-10235088.000000,-3847830.000000
1722389.000000,-10342563.000000,-4903224.000000
2950390.000000,-10777844.000000,-4653744.000000
1292744.000000,-11631292.000000,-5392040.000000
2987323.000000,-11028372.000000,-5569734.000000
1412833.000000,-12579962.000000,-4681066.000000
1936943.000000,-9609920.000000,-7361148.000000
2773082.000000,-10907562.000000,-4292185.000000
-1719328.000000,-9317832.000000,-7438740.000000
-2257415.000000,-7792982.000000,-6733030.000000
1932785.000000,-9019477.000000,-4644932.000000
1178389.500000,-7931599.000000,-3543573.000000
807049.500000,-6862194.000000,-2466799.000000
-334433.500000,-6186262.000000,-1022011.000000
5723953.000000,4555067.000000,-4936394.000000
5878477.000000,7510968.000000,-3940206.000000
5468454.000000,10455966.000000,-3255063.000000
7958687.000000,12043522.000000,236286.000000
6233591.000000,14637615.000000,115726.000000
7039147.000000,15048224.000000,2049515.500000
3774545.000000,17822332.000000,2539808.000000
6358265.000000,12888952.000000,1107392.000000
4330201.000000,15146740.000000,7220308.000000
-2483735.500000,12700342.000000,-1092690.000000
-2093930.000000,10668207.000000,3822292.500000
-3363382.500000,31629298.000000,1534881.500000
-5088499.500000,9076120.000000,2419559.500000
